,ENSG_ID,ENSG_start_bp,ENSG_end_bp,ENSG_chromosome,ENSG_type,HGNC_symbol,ENSMUSG_ID,ENSMUSG_start_bp,ENSMUSG_end_bp,ENSMUSG_chromosome,ENSMUSG_type,MGI_symbol
2481,ENSG00000258315,7014495,7017525,17,protein_coding,C17orf49,ENSMUSG00000020831,70126032,70128740,11,protein_coding,0610010K14Rik
15656,ENSG00000270170,196942674,196943543,3,protein_coding,NCBP2AS2,ENSMUSG00000107002,31765868,31767312,16,protein_coding,0610012G03Rik
13740,ENSG00000168887,85605254,85612066,2,protein_coding,C2orf68,ENSMUSG00000058706,72324300,72330131,6,protein_coding,0610030E20Rik
13937,ENSG00000154274,37453925,37623495,4,protein_coding,C4orf19,ENSMUSG00000060512,63969706,64056968,5,protein_coding,0610040J01Rik
15411,ENSG00000248713,99636529,99657828,4,protein_coding,C4orf54,ENSMUSG00000090066,137770813,137787267,3,protein_coding,1110002E22Rik
7076,ENSG00000110696,16613132,16758340,11,protein_coding,C11orf58,ENSMUSG00000030663,115638632,115704445,7,protein_coding,1110004F10Rik
5966,ENSG00000164972,34379019,34397828,9,protein_coding,C9orf24,ENSMUSG00000028441,41505009,41517333,4,protein_coding,1110017D15Rik
9695,ENSG00000137720,111878935,111885975,11,protein_coding,C11orf1,ENSMUSG00000037971,50674128,50686820,9,protein_coding,1110032A03Rik
12035,ENSG00000180044,160225422,160228213,3,protein_coding,C3orf80,ENSMUSG00000046999,68776919,68779496,3,protein_coding,1110032F04Rik
14202,ENSG00000182307,145052465,145066685,8,protein_coding,C8orf33,ENSMUSG00000063236,76832706,76835179,15,protein_coding,1110038F14Rik
10624,ENSG00000149179,46936689,47164385,11,protein_coding,C11orf49,ENSMUSG00000040591,91105413,91275049,2,protein_coding,1110051M20Rik
8841,ENSG00000155621,71911510,71986054,9,protein_coding,C9orf85,ENSMUSG00000035171,21558566,21630340,19,protein_coding,1110059E24Rik
8048,ENSG00000163807,44737661,44761619,3,protein_coding,KIAA1143,ENSMUSG00000032551,122774154,122780065,9,protein_coding,1110059G10Rik
15196,ENSG00000197982,37806979,37809454,1,protein_coding,C1orf122,ENSMUSG00000078570,124742873,124744989,4,protein_coding,1110065P20Rik
15385,ENSG00000235162,105235290,105396097,12,protein_coding,C12orf75,ENSMUSG00000087651,83558729,83598626,10,protein_coding,1500009L16Rik
12605,ENSG00000185127,169702190,169704856,6,protein_coding,C6orf120,ENSMUSG00000050088,15163446,15179832,17,protein_coding,1600012H06Rik
13290,ENSG00000131943,29698937,29715789,19,protein_coding,C19orf12,ENSMUSG00000054676,37882642,37896992,7,protein_coding,1600014C10Rik
2813,ENSG00000215217,7830378,7851151,5,protein_coding,C5orf49,ENSMUSG00000021534,68745540,68762350,13,protein_coding,1700001L19Rik
11540,ENSG00000179058,129612225,129620776,9,protein_coding,C9orf50,ENSMUSG00000044320,30684781,30693673,2,protein_coding,1700001O22Rik
1741,ENSG00000275489,38835086,38841438,17,protein_coding,C17orf98,ENSMUSG00000018543,97662307,97666744,11,protein_coding,1700001P01Rik
6779,ENSG00000284308,74414176,74421619,2,protein_coding,C2orf81,ENSMUSG00000030030,83133386,83139927,6,protein_coding,1700003E16Rik
9920,ENSG00000149609,33662327,33665619,20,protein_coding,C20orf144,ENSMUSG00000038523,154389005,154391923,2,protein_coding,1700003F12Rik
